client,gender,amount,card,retail_service,country,timestamp
Cesaro Bezant,Male,"€51,65",americanexpress,Garden,Brazil,4:39:03
Mata Summerlie,Male,"€5,80",americanexpress,Music,Argentina,3:55:27
Caty Summerlie,Female,"€71,77",americanexpress,Music,France,18:14:32
Donielle Christy,Female,"€89,23",americanexpress,Electronics,France,10:51:52
Bear Oliphand,Male,"€34,82",mastercard,Games,Brazil,7:58:17
Dareen Angeli,Female,"€80,23",americanexpress,Grocery,Portugal,21:39:52
Spence Pottinger,Male,"€84,46",visa,Industrial,Portugal,3:36:09
Eveline MacLeese,Female,"€63,47",americanexpress,Kids,France,11:56:48
Keelia Wudeland,Female,"€53,30",americanexpress,Books,Argentina,8:17:23
Hyacinthe Antonignetti,Female,"€34,65",americanexpress,Tools,France,16:48:52
Benni Blodg,Female,"€58,16",americanexpress,Books,France,2:53:56
Currie Greenhowe,Male,"€51,62",mastercard,Sports,Germany,23:37:35
Genevieve Champneys,Female,"€66,30",visa,Music,France,20:11:50
Cyril Glyn,Male,"€59,94",mastercard,Shoes,France,5:53:47
Nannie Lage,Female,"€72,79",americanexpress,Jewelry,France,13:44:18
Jim Swinburne,Male,"€27,59",americanexpress,Home,Brazil,7:40:43
Kristan Hurt,Female,"€94,11",visa,Automotive,Portugal,14:29:37
Ashley Tattersall,Male,"€18,93",mastercard,Clothing,Brazil,1:34:39
Raimondo Doncaster,Genderqueer,"€1,78",mastercard,Toys,Portugal,15:55:37
Angie Dobrowolski,Male,"€79,51",americanexpress,Automotive,Portugal,14:31:47
Vinita Beamson,Female,"€79,11",visa,Jewelry,France,18:44:40
Philip Farnell,Male,"€23,10",americanexpress,Movies,France,22:37:10
Meghan Longhorne,Polygender,"€98,75",americanexpress,Kids,Portugal,1:35:53
Hana Napier,Female,"€36,05",mastercard,Garden,Argentina,23:10:14
Theressa Sherrell,Bigender,"€58,75",mastercard,Grocery,Brazil,14:17:19
Shara Bengle,Female,"€45,29",mastercard,Beauty,Portugal,22:42:30
Alphard Chaves,Male,"€38,22",americanexpress,Kids,Portugal,19:13:59
Bette McCreadie,Female,"€11,25",mastercard,Electronics,Brazil,10:56:40
Tome Mephan,Male,"€13,21",visa,Beauty,Portugal,5:07:01
Angil Starten,Female,"€52,10",americanexpress,Computers,Portugal,17:28:43
Giulietta Greenfield,Female,"€56,69",mastercard,Toys,Brazil,22:37:33
Star Wahlberg,Female,"€32,70",visa,Books,Brazil,23:33:47
Reba Stambridge,Female,"€89,55",mastercard,Beauty,Portugal,5:25:28
Phyllys De Brett,Female,"€50,57",visa,Music,Portugal,15:02:29
Fionna Bonwell,Female,"€1,41",americanexpress,Home,France,4:48:08
Brittaney Rozea,Female,"€25,41",americanexpress,Industrial,Brazil,10:59:56
Warren McEvilly,Male,"€79,18",americanexpress,Movies,Argentina,10:19:18
Stacee Kmiec,Agender,"€21,52",mastercard,Toys,Portugal,22:11:16
Elsbeth Tarbox,Female,"€29,98",visa,Electronics,Brazil,19:33:22
Arley Lux,Male,"€18,69",visa,Automotive,Portugal,23:30:47
Darelle Unwins,Female,"€86,32",visa,Kids,Spain,7:11:03
Blair Vain,Male,"€0,48",visa,Health,Brazil,23:18:13
Breanne Brough,Female,"€50,66",visa,Electronics,Portugal,22:09:24
Fairlie Demangel,Male,"€94,07",visa,Baby,Argentina,4:19:15
Anstice Rawkesby,Female,"€31,49",americanexpress,Outdoors,Portugal,16:03:17
Harlene Bart,Female,"€66,20",americanexpress,Computers,Portugal,23:55:28
Arlen Lumsdale,Female,"€45,13",americanexpress,Books,France,15:20:20
Gilburt Harrhy,Male,"€16,71",mastercard,Jewelry,Brazil,18:47:18
Gabe Pigram,Male,"€64,44",americanexpress,Kids,Spain,2:04:12
Jane Feuell,Female,"€40,22",americanexpress,Movies,Portugal,0:48:02
Arv Parlor,Male,"€72,28",mastercard,Shoes,France,6:24:16
Phillie Offell,Female,"€13,76",americanexpress,Grocery,France,3:24:01
Bernetta Abels,Female,"€99,06",visa,Automotive,Brazil,3:56:29
Aleda Gerardot,Female,"€77,20",mastercard,Games,Portugal,2:25:04
Gene Halladay,Male,"€87,41",visa,Music,Brazil,9:24:58
Sydney Freeland,Male,"€88,18",americanexpress,Jewelry,France,14:15:06
Dorian Sustin,Male,"€8,24",americanexpress,Computers,Brazil,2:47:08
Aube Donohoe,Male,"€9,19",americanexpress,Music,Portugal,23:28:33
Geraldine Di Biagi,Female,"€27,82",mastercard,Shoes,Portugal,6:06:57
Zackariah Eassom,Male,"€76,10",mastercard,Automotive,France,12:13:16
Thorin Wrighton,Male,"€51,97",visa,Movies,Brazil,13:20:39
Tabbatha Heales,Female,"€52,53",americanexpress,Toys,Brazil,8:59:59
Garwin Chin,Male,"€16,45",americanexpress,Jewelry,France,11:34:13
Jody Buddell,Female,"€61,41",americanexpress,Health,Portugal,5:41:00
Bondy Keene,Male,"€83,17",visa,Outdoors,Brazil,20:50:50
Bernhard Manifield,Male,"€75,89",mastercard,Clothing,Brazil,22:23:24
Monica Macilhench,Female,"€30,87",mastercard,Computers,Portugal,3:14:01
Husain Ziebart,Male,"€0,00",americanexpress,Jewelry,Portugal,17:20:08
Nadia Alfuso,Female,"€7,56",visa,Movies,France,16:25:35
Nicholas Caberas,Male,"€31,59",mastercard,Grocery,Portugal,9:43:48
Erhart Gullyes,Male,"€96,64",americanexpress,Shoes,Portugal,19:17:15
Joanne Kewish,Female,"€48,26",mastercard,Computers,France,15:57:51
Bradan Seargeant,Male,"€17,34",visa,Outdoors,Argentina,17:48:54
Crawford Butchart,Male,"€1,03",visa,Clothing,France,6:45:05
Bernice Worsalls,Female,"€89,98",mastercard,Grocery,France,15:35:29
Clifford Timmis,Male,"€43,62",americanexpress,Beauty,Brazil,22:26:13
Heddie Breadon,Female,"€76,24",mastercard,Shoes,Brazil,2:54:06
Kandy Riglesford,Female,"€89,02",visa,Games,Germany,20:52:57
Hynda Reglar,Female,"€85,33",visa,Games,Portugal,15:24:07
Carolann Fellowes,Non-binary,"€16,78",visa,Industrial,Portugal,6:26:55
Julia Brokenshaw,Female,"€28,62",visa,Outdoors,France,0:09:40
Darrell Yetton,Male,"€31,59",visa,Music,Brazil,15:36:53
Tiebold Strippel,Male,"€53,34",americanexpress,Movies,Argentina,17:12:17
Maury Hendron,Male,"€36,17",mastercard,Music,France,22:42:21
Colene Trounce,Female,"€55,49",visa,Electronics,Brazil,19:02:24
Kory Poultney,Male,"€26,01",americanexpress,Grocery,France,4:48:13
Donna Noad,Female,"€89,04",mastercard,Jewelry,France,9:10:58
Saidee McCalum,Female,"€30,34",visa,Garden,France,13:17:28
Hurleigh Tebbut,Male,"€20,03",visa,Home,Brazil,21:11:30
Gipsy Alenov,Female,"€45,44",americanexpress,Garden,France,12:27:10
Gillan De Giorgio,Female,"€77,34",visa,Computers,Brazil,16:59:11
Eveline Tookey,Female,"€75,69",mastercard,Kids,France,21:21:12
Janetta Blenkharn,Female,"€68,73",mastercard,Health,Brazil,12:21:34
Caresa Hysom,Female,"€73,46",visa,Games,Argentina,1:48:16
Bunnie Axup,Female,"€14,00",americanexpress,Tools,France,13:18:46
Amalita McGuinley,Female,"€39,31",americanexpress,Industrial,France,14:41:03
Hymie Isworth,Male,"€16,53",mastercard,Movies,Portugal,6:05:48
Carmine Gallico,Polygender,"€93,75",mastercard,Industrial,Portugal,1:19:38
Guy Theuss,Male,"€23,55",mastercard,Books,Portugal,10:01:03
Fritz Allaker,Agender,"€7,67",visa,Jewelry,Brazil,2:30:21
Aharon Billyard,Male,"€98,34",visa,Home,France,23:10:11
Monty Hebblethwaite,Male,"€5,64",visa,Home,Germany,3:03:16
Ciro Pontain,Male,"€82,86",americanexpress,Grocery,Argentina,16:43:30
Jeremy Brooks,Male,"€87,07",americanexpress,Shoes,Brazil,2:25:35
Tanhya March,Female,"€76,35",americanexpress,Electronics,Brazil,12:52:20
Eugenius Loins,Male,"€25,04",visa,Computers,France,7:26:29
Hilarius Hawford,Male,"€10,68",mastercard,Clothing,Argentina,11:45:08
Tom Spraggon,Male,"€0,24",americanexpress,Home,Portugal,6:05:21
Wilie Lody,Agender,"€3,26",visa,Tools,Portugal,2:35:32
Rawley Lashmar,Male,"€29,17",visa,Baby,France,12:27:18
Leonora Kaasman,Non-binary,"€54,58",mastercard,Outdoors,Brazil,21:52:31
Toby Kilalea,Female,"€78,36",mastercard,Games,Portugal,15:25:33
Sheena Gorrie,Female,"€11,95",visa,Toys,Portugal,12:03:12
Clarita Sirrell,Female,"€76,96",mastercard,Shoes,Brazil,10:11:50
