client,gender,amount,card,retail_service,country,timestamp
Marybelle La Croce,Female,"€15,27",visa,Kids,France,16:56:05
Laurianne Paylor,Female,"€91,16",americanexpress,Garden,Brazil,15:44:29
Chris MacCrossan,Male,"€60,72",americanexpress,Toys,Brazil,0:08:00
Vernen Bakewell,Male,"€34,50",mastercard,Electronics,Brazil,15:27:59
Dewey Rains,Male,"€28,53",mastercard,Beauty,Brazil,21:55:34
Gates Hindenberger,Female,"€27,49",visa,Beauty,Portugal,19:53:43
Bonni Kinnier,Female,"€50,80",americanexpress,Industrial,France,1:14:55
Erika Bradly,Bigender,"€27,35",mastercard,Automotive,France,15:30:44
Lorne Duce,Male,"€3,75",americanexpress,Computers,France,4:17:08
Bertie Stambridge,Male,"€46,81",visa,Clothing,Portugal,18:35:54
Tandy Ziemke,Female,"€29,79",americanexpress,Games,Portugal,11:34:11
Kesley Parnby,Female,"€4,00",mastercard,Beauty,Argentina,17:55:40
Claudell Joules,Male,"€24,38",mastercard,Beauty,Argentina,9:11:07
Brigitta Regi,Female,"€32,93",americanexpress,Clothing,France,0:47:10
Filberto Plumbe,Male,"€82,91",visa,Kids,France,5:40:47
Asa Dayes,Male,"€69,99",visa,Toys,Portugal,1:37:40
Standford Quinnelly,Male,"€85,64",visa,Sports,Brazil,19:59:03
Lockwood Lerer,Male,"€13,72",mastercard,Health,France,1:15:43
Salvatore Tickle,Male,"€74,88",americanexpress,Beauty,France,7:09:18
Ashleigh Drowsfield,Female,"€16,15",americanexpress,Shoes,Argentina,21:18:02
Tonye McGrath,Female,"€65,84",americanexpress,Toys,France,8:01:34
Wang Loggie,Male,"€87,55",mastercard,Health,Portugal,8:10:16
Harp Cartmell,Genderqueer,"€51,05",mastercard,Health,Portugal,5:47:29
Brandea Cheson,Female,"€16,31",visa,Tools,France,21:51:19
Junette Bruun,Female,"€96,88",mastercard,Outdoors,Brazil,16:03:04
Claus Appleyard,Male,"€70,32",americanexpress,Electronics,Portugal,5:01:45
Hewett Putson,Male,"€43,56",americanexpress,Automotive,Germany,3:06:35
