client,gender,amount,card,retail_service,country,timestamp
Cchaddie Pentelo,Male,"€6,85",americanexpress,Beauty,Brazil,12:26:24
Rebekkah Lobbe,Female,"€46,03",americanexpress,Computers,France,14:01:34
Reginald Nuccii,Male,"€66,04",americanexpress,Outdoors,France,19:33:27
Elsworth Fantone,Male,"€32,45",americanexpress,Movies,Portugal,19:44:43
Benedick Mickleborough,Male,"€12,14",visa,Health,Portugal,3:28:15
Birk Ahrenius,Male,"€90,44",mastercard,Beauty,Portugal,13:01:19
Gerianne Yerborn,Female,"€88,73",americanexpress,Outdoors,Portugal,8:05:52
Aline Torrese,Female,"€48,35",mastercard,Automotive,Brazil,23:45:19
Arly Cashford,Female,"€73,39",mastercard,Books,France,3:09:08
Robbi Stockport,Female,"€76,12",visa,Kids,Brazil,4:08:39
Yanaton Gregs,Genderqueer,"€62,51",mastercard,Clothing,Brazil,8:47:02
Maudie Acom,Female,"€32,10",mastercard,Games,Portugal,11:50:20
Derk Hyndes,Male,"€7,98",mastercard,Games,Portugal,11:51:47
Rodolph Parker,Genderfluid,"€58,78",mastercard,Automotive,Brazil,11:50:48
Effie Durman,Female,"€71,83",mastercard,Kids,Brazil,21:56:52
Anthiathia Boddy,Bigender,"€64,32",mastercard,Books,Brazil,1:24:14
Estelle Chantree,Non-binary,"€72,13",americanexpress,Music,France,8:19:43
Romona Palethorpe,Female,"€3,03",visa,Shoes,Portugal,10:35:12
Shauna Broadis,Female,"€3,86",visa,Toys,France,1:41:14
Boniface Bapty,Male,"€48,96",mastercard,Toys,Brazil,12:54:02
Torry Dady,Male,"€86,78",visa,Grocery,Portugal,2:21:52
Dorey Ditt,Male,"€43,58",americanexpress,Beauty,Portugal,21:08:00
Vanni Jennions,Female,"€7,59",mastercard,Beauty,France,5:23:03
Godfrey Torrecilla,Male,"€95,14",visa,Computers,Portugal,4:27:20
Lizzy Ratlee,Female,"€73,60",mastercard,Jewelry,France,0:05:21
Elisha Yegorkin,Male,"€65,14",visa,Clothing,Brazil,22:30:21
Arel Dickins,Male,"€49,09",americanexpress,Garden,Portugal,20:49:57
El Souttar,Male,"€87,12",americanexpress,Movies,France,13:28:11
Kimberley Dmytryk,Female,"€96,46",americanexpress,Games,Brazil,1:21:20
Arnuad D'Andrea,Male,"€43,94",americanexpress,Toys,Portugal,10:13:13
Melisande Kynton,Female,"€31,24",visa,Electronics,France,14:55:47
Patrica Doel,Female,"€50,70",mastercard,Books,Brazil,5:56:53
Drucie Border,Non-binary,"€40,98",americanexpress,Sports,Argentina,20:54:15
Theadora Swash,Female,"€85,06",mastercard,Beauty,Germany,1:54:59
Fay Ander,Female,"€76,63",visa,Sports,Argentina,5:05:58
Maye O'Geneay,Genderfluid,"€12,26",visa,Beauty,Brazil,20:38:43
Branden Eich,Male,"€18,92",mastercard,Grocery,Spain,15:00:27
Malva Grellis,Female,"€11,71",mastercard,Automotive,France,6:57:08
Gamaliel MacGillicuddy,Male,"€7,95",visa,Beauty,France,12:01:09
Chrissy Northall,Female,"€73,59",americanexpress,Clothing,France,23:34:27
Rosella Thewles,Female,"€38,00",mastercard,Clothing,Spain,0:58:54
Ruddie Bartot,Male,"€69,87",americanexpress,Automotive,Argentina,22:03:02
Waverley Steggles,Male,"€49,57",mastercard,Tools,Portugal,17:45:08
Adolphe Dunnico,Male,"€60,09",visa,Sports,Portugal,22:36:42
Kanya Connar,Female,"€59,95",americanexpress,Automotive,France,2:59:08
Zacharias Boken,Male,"€73,86",visa,Games,Portugal,22:44:21
Dacey Entissle,Female,"€90,00",mastercard,Games,Argentina,8:59:14
Addy Doncom,Female,"€21,89",mastercard,Electronics,Brazil,15:30:04
Tomasine Engeham,Female,"€5,58",visa,Tools,Brazil,5:29:46
Knox Pietruszka,Agender,"€38,14",visa,Grocery,France,23:20:24
Kelly Chern,Male,"€81,60",visa,Health,Brazil,21:11:59
Isac Holtaway,Male,"€88,78",americanexpress,Kids,Brazil,18:50:08
Ernest Howcroft,Male,"€69,42",mastercard,Automotive,Brazil,2:51:17
Wade Mifflin,Male,"€1,62",mastercard,Beauty,France,16:29:13
Wendall Harwood,Male,"€73,39",visa,Electronics,France,5:05:15
Traver Espadater,Male,"€6,70",americanexpress,Baby,France,2:56:48
Dela Gorrick,Female,"€19,98",mastercard,Home,Portugal,19:36:52
Sheffy Withrop,Male,"€93,76",americanexpress,Clothing,Portugal,20:17:18
Ainslee Cissen,Female,"€48,73",visa,Home,Brazil,23:37:34
Kandace Charrisson,Female,"€26,44",americanexpress,Movies,Portugal,23:58:59
Michel Duggan,Female,"€20,45",americanexpress,Computers,Argentina,22:16:33
Olenka Heinreich,Female,"€94,88",visa,Health,France,0:12:24
Coralyn Wabe,Female,"€21,30",visa,Movies,Portugal,19:56:51
Cal Udy,Female,"€54,14",visa,Garden,Brazil,7:21:34
Marco Side,Non-binary,"€40,43",americanexpress,Garden,Brazil,0:45:42
Kyrstin Borthe,Female,"€72,39",americanexpress,Sports,Portugal,13:44:32
Twyla Townley,Female,"€39,21",mastercard,Clothing,Brazil,9:22:58
Duffy Mattis,Male,"€82,25",visa,Industrial,France,8:20:42
Jayne Inglesant,Female,"€23,39",americanexpress,Tools,Portugal,21:54:56
Elsy Somerscales,Female,"€68,60",americanexpress,Baby,Brazil,6:37:40
Lu Denman,Female,"€47,61",visa,Tools,France,22:51:16
Reagen Jerrold,Male,"€53,27",visa,Home,France,8:22:58
Tilda Van Arsdall,Female,"€1,38",visa,Shoes,Brazil,16:18:16
Alice Champneys,Female,"€85,39",americanexpress,Industrial,Portugal,4:37:09
Anna-diana D'Elias,Female,"€26,05",mastercard,Grocery,Argentina,4:19:10
Lionello Hatliffe,Male,"€70,53",visa,Automotive,France,19:50:49
Lynnette Gallehawk,Female,"€33,77",mastercard,Tools,Portugal,14:41:50
Edvard Cumberpatch,Male,"€93,73",visa,Grocery,Brazil,4:51:16
Torre Winckle,Male,"€61,54",mastercard,Automotive,Germany,18:53:16
Babbie Hugueville,Female,"€44,97",americanexpress,Jewelry,Brazil,10:48:35
Bink O'Griffin,Male,"€78,52",americanexpress,Movies,Brazil,6:48:02
Augusto Bownass,Male,"€57,05",visa,Baby,Brazil,20:41:40
Norene Filimore,Female,"€9,21",mastercard,Health,France,10:10:14
Regine Rabl,Female,"€42,80",americanexpress,Home,Brazil,20:58:54
Gifford Faye,Male,"€98,84",mastercard,Shoes,Portugal,6:02:22
Andi Starbuck,Female,"€99,78",mastercard,Sports,Spain,20:03:32
Fons Wrettum,Male,"€93,91",americanexpress,Jewelry,Portugal,1:30:07
Algernon Greswell,Male,"€46,96",americanexpress,Tools,Brazil,17:37:03
Mano Aland,Male,"€3,19",americanexpress,Shoes,Portugal,17:08:10
Joscelin Featenby,Female,"€19,36",americanexpress,Baby,France,15:17:03
Kristoforo Eilles,Male,"€79,79",americanexpress,Garden,Argentina,3:45:31
Bride Bamlett,Female,"€79,47",visa,Electronics,Brazil,3:01:37
Tyrus MacComiskey,Male,"€16,02",mastercard,Beauty,Argentina,20:18:41
