client,gender,amount,card,retail_service,country,timestamp
Koenraad Everit,Male,"€84,28",americanexpress,Computers,Portugal,11:50:31
Huntley Sutherington,Male,"€16,47",americanexpress,Beauty,France,8:25:16
Susannah Goering,Female,"€92,20",mastercard,Tools,Argentina,0:23:22
Lise Paoli,Female,"€71,05",mastercard,Toys,Brazil,13:55:20
Dolf Pollok,Male,"€12,36",visa,Kids,Brazil,0:30:59
Fonsie Dracksford,Male,"€71,68",americanexpress,Computers,France,12:37:57
Faith Wharmby,Female,"€48,13",visa,Outdoors,Portugal,6:44:54
Davin Burness,Male,"€53,67",visa,Kids,France,15:04:18
Hanni Littrell,Female,"€50,09",visa,Music,France,5:18:54
Ernesto Quilleash,Male,"€52,43",visa,Electronics,Spain,5:40:19
Charyl Blogg,Female,"€38,80",mastercard,Movies,Brazil,18:50:48
Chevy Biaggi,Male,"€39,50",visa,Electronics,Brazil,5:09:50
Floris Tuting,Female,"€16,15",mastercard,Clothing,Brazil,7:35:20
Sharl Gunther,Female,"€84,66",mastercard,Tools,France,12:01:31
Arliene Allibone,Bigender,"€15,91",visa,Automotive,Portugal,23:12:31
Christabel Durdy,Female,"€49,19",americanexpress,Sports,Portugal,21:07:29
Gretta Leibold,Female,"€11,95",americanexpress,Baby,Spain,1:39:52
Rora Weeke,Female,"€73,39",americanexpress,Industrial,Portugal,0:50:36
Padgett Haill,Polygender,"€66,56",visa,Industrial,France,8:34:54
Clayborne Foulger,Male,"€85,26",mastercard,Toys,Argentina,3:23:39
Sergio Cleveley,Male,"€70,68",americanexpress,Books,Portugal,3:06:07
Joyce Fitzjohn,Agender,"€64,41",visa,Tools,France,10:25:11
Yurik Gash,Male,"€3,94",visa,Health,Portugal,20:05:35
Madonna Howson,Female,"€78,44",americanexpress,Toys,France,12:00:06
Raoul Punt,Male,"€73,81",mastercard,Outdoors,Argentina,6:14:10
Aubrette Dumbrill,Female,"€55,01",americanexpress,Shoes,Brazil,13:56:07
Celka Dallyn,Female,"€12,97",americanexpress,Games,Portugal,2:01:42
Eleen Speed,Female,"€80,45",visa,Garden,Portugal,4:12:59
Billye Yakunchikov,Female,"€43,25",americanexpress,Automotive,Germany,18:09:38
Salvidor Chavez,Male,"€45,38",americanexpress,Garden,Portugal,23:43:39
Mathew Haime,Male,"€40,22",visa,Clothing,Argentina,5:27:12
Richy Spini,Male,"€7,07",visa,Jewelry,Brazil,22:40:35
Clair Frances,Female,"€44,44",americanexpress,Grocery,Spain,1:36:03
Inglis Beetham,Male,"€74,43",americanexpress,Health,Portugal,9:36:38
Jaime Jindra,Female,"€84,40",visa,Sports,Brazil,7:11:47
Gwendolin Cosby,Non-binary,"€8,25",mastercard,Automotive,France,1:23:54
Nil Belliveau,Male,"€29,07",mastercard,Health,Portugal,14:24:05
Teodor Scammell,Male,"€9,28",americanexpress,Automotive,Portugal,6:27:46
Arman Selkirk,Male,"€38,22",visa,Jewelry,Portugal,22:40:29
Pierrette Bisley,Female,"€92,86",visa,Industrial,France,4:46:09
Virginie Hanscom,Female,"€13,18",visa,Clothing,Portugal,0:24:40
Louise McCarver,Female,"€71,51",mastercard,Health,Brazil,3:10:47
Sutherland Houldey,Agender,"€32,09",visa,Sports,Argentina,15:46:56
Dick Hainey,Male,"€94,29",americanexpress,Health,Germany,22:33:38
Dan Ambresin,Genderqueer,"€8,93",visa,Tools,Portugal,7:46:35
Ketti Melesk,Female,"€36,34",americanexpress,Shoes,France,9:11:35
Merle Palke,Female,"€49,95",americanexpress,Health,Portugal,7:08:53
Jamal Start,Male,"€48,87",americanexpress,Music,Brazil,13:51:48
Kori Sturr,Female,"€42,04",mastercard,Home,Brazil,21:38:53
Nicole Humpatch,Female,"€24,85",mastercard,Kids,Portugal,22:21:56
Nikki Scarre,Male,"€30,52",visa,Automotive,France,13:44:47
Sorcha Densey,Female,"€47,85",mastercard,Sports,Portugal,6:07:17
Jude Sterry,Male,"€27,47",americanexpress,Industrial,Spain,18:37:17
Sibylla Jest,Female,"€15,72",visa,Shoes,Argentina,15:46:26
Diarmid Yarnton,Male,"€31,66",mastercard,Jewelry,Spain,4:55:23
Thomasina Camfield,Female,"€97,28",visa,Automotive,Portugal,8:21:02
Thurstan Lidgertwood,Male,"€43,12",americanexpress,Home,Portugal,13:39:30
Jeffy Wardhaugh,Male,"€12,75",visa,Automotive,Portugal,13:22:34
Antoni Teggin,Male,"€57,33",americanexpress,Home,Argentina,12:33:24
Lindie Udale,Female,"€41,17",mastercard,Books,Portugal,11:56:58
Chevy Mallindine,Male,"€37,58",americanexpress,Tools,Portugal,9:54:52
Jakie Bayfield,Bigender,"€80,39",mastercard,Grocery,Portugal,3:15:38
Lebbie Kilius,Female,"€1,05",americanexpress,Home,Brazil,18:09:14
Rowland Scough,Male,"€43,65",americanexpress,Clothing,France,20:04:10
Skell Maxwell,Male,"€26,80",mastercard,Books,Brazil,9:56:12
Dotty Calderhead,Female,"€4,58",americanexpress,Computers,Portugal,4:00:05
Marcile Bertomier,Female,"€39,15",visa,Grocery,France,2:52:41
Tallie Nucci,Male,"€33,01",visa,Automotive,Spain,3:42:32
Florina Gowthrop,Female,"€95,38",mastercard,Computers,France,4:36:48
Dru Glover,Male,"€16,64",mastercard,Electronics,Brazil,23:47:08
Aggie Donat,Female,"€92,80",mastercard,Industrial,France,14:54:13
Trixie Seagrave,Polygender,"€71,84",mastercard,Beauty,Brazil,10:03:31
Rabi Readhead,Male,"€40,82",visa,Health,France,9:19:29
Gram Cholton,Male,"€74,35",mastercard,Electronics,Portugal,15:47:20
Brina Abbatt,Female,"€41,65",americanexpress,Clothing,France,16:17:32
Dore Lazenbury,Female,"€97,85",mastercard,Games,Portugal,7:09:41
Curran Rosenfarb,Male,"€15,20",mastercard,Health,Argentina,22:15:17
Tommy Woodlands,Male,"€71,37",americanexpress,Beauty,Portugal,23:35:48
Orran Paget,Male,"€45,00",visa,Tools,Brazil,13:15:51
Allyn Blenkiron,Female,"€13,52",americanexpress,Sports,Brazil,18:57:52
Mechelle McKenna,Female,"€11,51",visa,Jewelry,Portugal,2:22:26
Brunhilde Orneblow,Female,"€19,97",mastercard,Electronics,Portugal,10:44:23
Samson Rosenvasser,Male,"€57,59",americanexpress,Sports,France,6:34:42
Roanna Malamore,Female,"€26,35",visa,Computers,Brazil,13:49:07
Violante Barthrup,Female,"€54,72",americanexpress,Jewelry,Portugal,0:11:49
Devonna Stuckow,Bigender,"€31,28",mastercard,Computers,Portugal,17:10:44
Marven Foulstone,Male,"€85,50",mastercard,Jewelry,Argentina,4:40:04
Ruby Arbon,Female,"€58,55",americanexpress,Kids,France,17:40:46
Milton Chastney,Male,"€57,00",visa,Grocery,Portugal,12:29:52
Moss Hansell,Male,"€75,19",visa,Toys,Germany,16:32:14
Patrick Chettle,Male,"€71,02",mastercard,Clothing,France,11:24:26
Hanni Scholz,Female,"€11,60",americanexpress,Beauty,Brazil,7:40:39
Emmett Pannett,Bigender,"€51,96",americanexpress,Clothing,France,14:53:26
Chaunce Greeveson,Genderfluid,"€36,01",visa,Kids,France,14:23:04
Linus Robshaw,Genderqueer,"€70,39",mastercard,Home,Argentina,2:04:02
