client,gender,amount,card,retail_service,country,timestamp
Esmaria Charker,Female,"€42,10",mastercard,Movies,France,21:55:36
Law Extill,Male,"€98,23",americanexpress,Baby,Portugal,13:42:03
Kristal Foyston,Female,"€88,98",mastercard,Outdoors,Argentina,1:42:40
Abbott Borel,Male,"€94,85",visa,Clothing,Portugal,17:45:15
Erinna Bottrill,Female,"€87,20",mastercard,Industrial,France,12:13:24
Kinnie Meads,Male,"€35,60",mastercard,Jewelry,Portugal,1:32:10
Lillis Earlam,Female,"€81,59",visa,Tools,Portugal,20:50:00
Bernete Berkely,Female,"€41,64",visa,Sports,Brazil,12:12:11
Cleveland Proppers,Male,"€51,41",visa,Industrial,Portugal,9:49:12
Gwenore Summerside,Female,"€75,79",visa,Beauty,France,11:18:40
Tobit Davisson,Male,"€48,35",mastercard,Tools,Argentina,6:58:17
Mommy Froom,Female,"€90,97",visa,Beauty,Brazil,2:56:10
Larina Thieme,Female,"€82,40",americanexpress,Kids,Brazil,4:46:27
Barty Bilbrook,Male,"€88,83",americanexpress,Tools,Brazil,19:35:54
Molly Comazzo,Female,"€29,46",visa,Electronics,Brazil,11:33:52
Bert Benzie,Male,"€87,34",americanexpress,Computers,Argentina,11:57:12
Allayne Pierrepont,Male,"€77,90",americanexpress,Books,Brazil,10:41:05
Washington Cone,Male,"€84,51",mastercard,Outdoors,Portugal,9:36:41
Inglis Dudley,Male,"€64,71",mastercard,Clothing,Brazil,6:48:28
Vachel Smidmore,Male,"€49,29",visa,Grocery,Portugal,21:55:02
Theresita Huckstepp,Female,"€30,46",mastercard,Grocery,Brazil,20:03:44
Malanie Raraty,Polygender,"€38,22",americanexpress,Shoes,Brazil,0:51:19
Nicoline Hatton,Female,"€60,24",americanexpress,Kids,Brazil,13:20:00
Isabelita Beincken,Female,"€20,00",americanexpress,Home,Portugal,21:53:48
Klarika Nizet,Female,"€88,43",mastercard,Automotive,Brazil,18:05:44
Henka Allibon,Female,"€36,08",visa,Computers,Brazil,11:54:58
Vito Ilyinykh,Male,"€52,99",visa,Home,Argentina,3:47:00
Tiffani Pym,Female,"€56,08",americanexpress,Kids,Portugal,9:06:45
Marianna Edlington,Female,"€87,73",visa,Jewelry,France,17:44:15
Lawton McGorman,Non-binary,"€12,00",visa,Grocery,Portugal,11:08:31
Annecorinne Saunt,Female,"€44,93",visa,Computers,France,1:00:30
Tito Impson,Male,"€36,03",mastercard,Toys,Portugal,16:40:41
Hilda Orro,Female,"€9,96",visa,Garden,Portugal,19:34:46
Jaimie Barraclough,Male,"€57,06",visa,Sports,Brazil,19:46:59
Livvyy Hambright,Female,"€29,69",mastercard,Toys,Portugal,22:15:55
Yancey Buxey,Male,"€59,76",mastercard,Beauty,France,17:20:20
Tristam Jirsa,Male,"€67,18",visa,Home,France,5:18:14
Darrell Harteley,Male,"€47,25",americanexpress,Garden,Portugal,13:27:44
Marcelline Petrowsky,Female,"€19,08",visa,Beauty,Portugal,10:55:26
Jonell Bordis,Female,"€82,88",visa,Beauty,Brazil,17:23:10
Rachel Tatchell,Female,"€85,65",mastercard,Baby,Brazil,19:36:44
Elinor Whye,Female,"€75,73",mastercard,Kids,Portugal,3:08:11
Estrellita Farland,Female,"€78,36",americanexpress,Grocery,Brazil,14:43:22
Claire Jack,Female,"€55,57",visa,Movies,Brazil,6:50:30
Lorinda Strettell,Female,"€40,56",mastercard,Clothing,Portugal,23:16:02
Ruttger Pelos,Male,"€10,36",americanexpress,Automotive,Portugal,22:41:10
Ludwig Rolls,Bigender,"€31,28",visa,Automotive,Brazil,12:30:42
Northrop Ferryman,Male,"€24,91",americanexpress,Garden,Brazil,10:05:57
Mickie Drought,Male,"€13,58",americanexpress,Electronics,Brazil,9:35:30
Laughton MacCarrane,Male,"€12,58",mastercard,Toys,Brazil,9:53:18
Tabbatha Tremlett,Bigender,"€62,38",mastercard,Music,Brazil,21:02:55
Wilfrid Gopsall,Male,"€23,80",americanexpress,Toys,France,15:51:15
Dorree Mountstephen,Female,"€41,69",visa,Baby,Brazil,9:54:06
Reuben Ram,Male,"€17,12",visa,Games,Portugal,15:52:20
Kalle Hickeringill,Male,"€80,09",visa,Industrial,France,4:46:57
Carr Bray,Polygender,"€71,39",mastercard,Clothing,Portugal,16:44:27
Otho Moncaster,Agender,"€48,77",visa,Health,Brazil,4:02:07
Henry Challace,Male,"€59,52",americanexpress,Games,France,21:48:30
Walton Libbie,Male,"€70,13",mastercard,Movies,Brazil,20:18:17
Nevil Dugall,Male,"€38,57",americanexpress,Jewelry,France,15:28:44
Liam Van Daalen,Male,"€12,43",americanexpress,Beauty,Portugal,0:53:24
Joelle Skegg,Female,"€37,89",visa,Shoes,Portugal,15:04:22
Estell Douglass,Female,"€32,32",mastercard,Shoes,France,8:56:38
Dyana Smullen,Female,"€66,64",mastercard,Games,Portugal,5:04:05
Reg Eathorne,Male,"€95,04",americanexpress,Sports,France,11:33:13
Ashlan Warin,Female,"€44,13",americanexpress,Music,Portugal,6:22:31
Albie Rohlf,Male,"€28,27",visa,Kids,Brazil,23:10:47
Lyell Clotworthy,Polygender,"€88,30",americanexpress,Kids,France,9:47:45
Joye Brilon,Female,"€15,20",visa,Grocery,Portugal,20:35:30
Corrianne Widdison,Female,"€42,25",americanexpress,Home,Brazil,5:03:57
Kinny Jouaneton,Bigender,"€40,76",americanexpress,Games,Argentina,17:44:44
Yehudi Plose,Male,"€66,44",visa,Industrial,Brazil,9:23:16
Ned Bilt,Male,"€78,32",americanexpress,Sports,Brazil,11:07:22
Saundra Blakeney,Female,"€59,39",mastercard,Games,Portugal,5:52:17
Ariana Dye,Female,"€74,16",mastercard,Computers,France,15:23:28
Tarra Woolner,Female,"€5,79",mastercard,Home,Portugal,4:42:50
Lilith Vasishchev,Non-binary,"€99,35",visa,Automotive,Brazil,13:46:01
Dorris Hacking,Female,"€88,75",mastercard,Toys,Brazil,16:36:32
Celle Dennis,Female,"€64,04",mastercard,Music,France,1:49:29
