client,gender,amount,card,retail_service,country,timestamp
Ermanno Bockmann,Male,"€90,94",visa,Jewelry,Portugal,7:01:55
Salomon Mourgue,Male,"€81,05",visa,Grocery,Argentina,15:13:44
Bobine Skunes,Female,"€69,04",americanexpress,Home,Argentina,19:31:50
Moira Daymond,Female,"€99,52",visa,Computers,Portugal,4:20:46
Andria Punyer,Genderqueer,"€69,27",mastercard,Home,Brazil,18:33:35
Jade Buckney,Female,"€93,69",visa,Movies,Brazil,3:26:44
Rodolfo Burroughes,Male,"€3,72",americanexpress,Toys,Portugal,20:15:38
Aleda Waistall,Female,"€44,13",visa,Computers,Portugal,12:18:37
Nap Baxill,Male,"€55,26",americanexpress,Grocery,France,11:04:31
Karla Jefford,Female,"€69,43",americanexpress,Outdoors,Spain,13:02:25
Townie Ellington,Male,"€53,00",americanexpress,Jewelry,France,16:09:02
Nickolai Ruos,Male,"€35,88",americanexpress,Clothing,Brazil,12:59:30
Jerrie Dimond,Male,"€69,29",visa,Garden,Brazil,20:16:32
Even MacCague,Male,"€9,27",visa,Outdoors,France,22:28:48
Martie Concannon,Male,"€25,75",visa,Home,Brazil,7:18:45
Loy Carcass,Male,"€72,14",americanexpress,Music,France,6:25:07
Winni Pretorius,Female,"€29,75",visa,Music,Brazil,8:40:09
Cece Leadley,Male,"€8,79",mastercard,Computers,Brazil,0:03:25
Pauletta Di Lucia,Female,"€58,27",mastercard,Movies,Brazil,8:59:46
Raimundo Herculson,Male,"€84,47",americanexpress,Sports,Portugal,19:55:56
Deloria Ratlee,Female,"€96,40",americanexpress,Shoes,Argentina,8:56:12
Veronike Mosby,Female,"€8,93",mastercard,Clothing,Brazil,21:21:38
Carol-jean Francombe,Female,"€97,81",visa,Kids,France,14:31:04
Norma Coleborn,Female,"€36,54",americanexpress,Beauty,Portugal,9:25:07
Sol Jime,Male,"€78,27",mastercard,Health,Brazil,8:46:25
Bella Robilliard,Female,"€99,58",mastercard,Electronics,Brazil,18:31:29
Erv Dablin,Male,"€75,85",visa,Garden,Brazil,13:34:12
Cherilyn Elmer,Bigender,"€93,61",visa,Sports,Portugal,3:27:08
Delainey Izakovitz,Male,"€7,49",mastercard,Electronics,Portugal,6:58:39
Gearalt Watchorn,Male,"€13,38",americanexpress,Computers,Portugal,18:49:11
Worthington Osler,Male,"€88,68",americanexpress,Movies,Portugal,21:05:32
Daffy Milne,Female,"€61,67",mastercard,Music,Portugal,1:47:51
Kelley Dalgardno,Male,"€35,02",visa,Garden,Argentina,21:01:21
Jobie Norgate,Female,"€91,54",mastercard,Health,Argentina,2:25:36
Arley Rodda,Male,"€64,55",mastercard,Beauty,Portugal,21:38:15
Bernhard Connell,Male,"€27,80",mastercard,Kids,Portugal,8:15:46
Nealson Dwane,Male,"€16,75",visa,Grocery,Portugal,21:32:37
Jemmie Grigoriscu,Female,"€47,13",americanexpress,Beauty,France,23:57:37
Frazier Peplow,Male,"€29,54",mastercard,Shoes,Portugal,12:28:40
Philippine Howley,Bigender,"€96,34",visa,Shoes,Brazil,21:27:55
Tess Blessed,Female,"€4,49",americanexpress,Clothing,Brazil,20:17:13
Obidiah Crawshay,Male,"€6,36",mastercard,Movies,Argentina,5:21:49
Wynny Lyptratt,Female,"€49,87",americanexpress,Industrial,Argentina,7:32:50
Gwenette Kensley,Female,"€93,21",americanexpress,Tools,Brazil,11:49:02
Wells Cheales,Male,"€91,25",mastercard,Health,Brazil,19:56:44
Linn Burnitt,Male,"€76,51",visa,Sports,France,1:51:23
Neda Davidoff,Female,"€30,58",mastercard,Movies,Brazil,20:50:45
Morena Zoanetti,Female,"€32,15",visa,Garden,Brazil,4:02:26
Elena Damper,Female,"€30,24",visa,Movies,Portugal,0:29:03
Errick Tock,Male,"€27,05",americanexpress,Books,Brazil,7:44:37
Randell Serrell,Male,"€41,37",visa,Outdoors,Portugal,3:39:48
Emmalyn Flett,Female,"€94,57",americanexpress,Electronics,Portugal,9:16:08
Antonino Punshon,Male,"€28,51",mastercard,Grocery,Portugal,16:44:46
Saudra Truelock,Female,"€9,88",americanexpress,Shoes,Argentina,4:48:33
Vincenty Bernardoni,Male,"€36,61",visa,Jewelry,Brazil,16:35:52
Demetri Cleworth,Male,"€3,64",mastercard,Books,Brazil,17:10:58
Lamont Hebson,Male,"€69,61",visa,Music,France,5:10:07
Calv McMackin,Male,"€70,30",visa,Shoes,Portugal,12:51:07
Conny Sisson,Male,"€96,07",americanexpress,Beauty,Argentina,21:09:24
Wilbur Nicholes,Male,"€21,18",americanexpress,Beauty,Brazil,11:45:03
Galven Sute,Male,"€14,06",americanexpress,Books,Brazil,18:17:28
York Bortoli,Male,"€99,41",americanexpress,Home,France,21:14:27
Chiquia Nutbeem,Female,"€98,10",americanexpress,Baby,Argentina,0:18:13
Beaufort Korneichik,Male,"€29,89",mastercard,Automotive,Portugal,9:49:43
Willdon Micallef,Male,"€43,94",mastercard,Sports,Brazil,0:03:14
Sisile Blackshaw,Female,"€75,95",americanexpress,Clothing,Brazil,15:58:17
Norbie Seedhouse,Male,"€92,34",visa,Industrial,Germany,1:41:24
Lilyan Lefever,Female,"€91,01",visa,Movies,Portugal,2:02:17
Royal Buglar,Male,"€35,17",visa,Jewelry,Brazil,11:31:56
Chicky Heindle,Female,"€67,55",mastercard,Grocery,France,20:57:50
Caldwell Hinkes,Male,"€42,48",visa,Garden,France,2:04:25
Peri Drinkale,Female,"€71,89",mastercard,Beauty,Portugal,13:23:03
Christine Greet,Female,"€88,54",mastercard,Grocery,France,8:50:03
Tova Sudell,Female,"€2,70",americanexpress,Clothing,Portugal,19:22:13
Rickie Exeter,Female,"€41,40",mastercard,Automotive,Brazil,21:52:53
Breena Tivenan,Female,"€6,56",mastercard,Games,Portugal,15:03:55
Maurene Ridgeway,Female,"€60,22",americanexpress,Beauty,Argentina,19:03:41
Chevalier Saiger,Male,"€35,60",mastercard,Industrial,Portugal,19:58:36
Bent Peerman,Male,"€25,38",visa,Automotive,Brazil,9:21:32
Gabby Gallaway,Male,"€58,34",mastercard,Clothing,Portugal,12:21:58
Sharia Pennycord,Female,"€86,19",mastercard,Clothing,Brazil,8:40:52
Shelagh Dunbobbin,Female,"€53,80",visa,Toys,Argentina,22:06:17
Aubree Galilee,Female,"€96,72",americanexpress,Automotive,Brazil,17:34:24
Korella Hek,Female,"€71,72",mastercard,Computers,France,6:55:38
Terri-jo Mawford,Genderqueer,"€77,75",americanexpress,Electronics,Brazil,14:21:05
Lev Degg,Male,"€72,90",americanexpress,Industrial,Portugal,6:24:57
Daryle Batt,Male,"€41,75",visa,Jewelry,Germany,12:18:00
Gale Housaman,Male,"€99,79",americanexpress,Movies,Brazil,18:12:15
Trescha Blyden,Female,"€14,27",visa,Shoes,Brazil,13:35:18
Joseph Griffitt,Male,"€95,70",mastercard,Games,France,12:43:11
Crissie Kocher,Female,"€51,80",mastercard,Home,France,11:41:26
Tasha Fantham,Female,"€3,70",visa,Sports,Argentina,6:15:42
Eleanor Tyne,Female,"€18,66",americanexpress,Health,Portugal,13:21:33
Carmen Cricket,Non-binary,"€95,60",visa,Shoes,France,0:39:03
Lew Bettenay,Bigender,"€27,07",mastercard,Books,France,15:57:37
Leisha Flewett,Non-binary,"€18,11",mastercard,Automotive,Brazil,6:35:04
Wendy Liell,Female,"€31,16",visa,Beauty,France,8:51:10
Ingelbert Satchel,Male,"€89,46",americanexpress,Music,Germany,7:03:01
Carlotta Breche,Female,"€23,25",mastercard,Kids,Argentina,21:01:29
Lauraine Corradi,Female,"€34,59",mastercard,Movies,Brazil,11:27:36
Hilary Craigmyle,Male,"€15,81",mastercard,Beauty,France,8:47:08
Bendick Martignoni,Agender,"€56,40",mastercard,Tools,Portugal,11:37:22
Erskine Normanville,Male,"€75,66",visa,Garden,Germany,9:03:17
Inigo Ragate,Male,"€9,48",visa,Beauty,Argentina,1:32:49
Iggie Jeffels,Non-binary,"€77,42",mastercard,Health,Portugal,5:23:40
Tammi Hatchard,Female,"€6,39",mastercard,Books,Brazil,6:39:09
Auberon Czapla,Male,"€77,72",americanexpress,Music,Portugal,12:33:27
Symon Domesday,Male,"€86,46",visa,Games,Brazil,7:59:48
Viviyan Whitman,Female,"€40,73",visa,Outdoors,Portugal,2:01:06
Una Boutwell,Female,"€49,77",mastercard,Computers,France,23:35:16
Allin Rapinett,Male,"€40,11",visa,Outdoors,Portugal,7:10:37
Odilia Silvermann,Female,"€55,80",mastercard,Computers,Brazil,22:18:17
Scottie Loiterton,Male,"€50,14",americanexpress,Home,Brazil,0:55:52
Lula Masurel,Female,"€18,99",visa,Automotive,Brazil,16:27:18
Micheil Pashen,Male,"€39,99",visa,Music,Brazil,23:56:35
Julianne Kubanek,Female,"€11,88",visa,Electronics,Brazil,21:16:29
Bea Lomasna,Genderfluid,"€92,63",americanexpress,Games,France,5:16:43
Gherardo O'Rafferty,Male,"€64,88",americanexpress,Computers,Portugal,11:13:53
Phylys Minchi,Female,"€94,06",americanexpress,Tools,France,0:48:02
Lucie Ingle,Female,"€95,55",mastercard,Industrial,Portugal,1:10:17
Otis O'Doran,Male,"€16,98",visa,Games,Portugal,11:51:20
Dolli Dutton,Female,"€78,76",americanexpress,Jewelry,Portugal,7:09:47
May Dursley,Female,"€52,21",visa,Music,Brazil,5:01:39
Izzy Heyward,Male,"€92,85",americanexpress,Automotive,Brazil,4:40:31
Priscella Bricket,Female,"€42,27",mastercard,Toys,Portugal,4:55:18
